,날짜,시가총액,거래소코드,회사명_x,month,순매수거래량,순매수거래량_최종,순매수거래대금 비중_외국인
0,2013-10,232536150000,068400,SK렌터카,10,-505423.0,-705579.0,-0.005531267660792427
1,2013-11,258004395000,068400,SK렌터카,11,743370.0,-705579.0,-0.005531267660792427
2,2013-12,273506805000,068400,SK렌터카,12,-470605.0,-705579.0,-0.005531267660792427
3,2014-01,313370145000,068400,SK렌터카,01,-7887.0,-705579.0,-0.005531267660792427
4,2014-02,318906720000,068400,SK렌터카,02,-379033.0,-705579.0,-0.005531267660792427
5,2014-03,355448115000,068400,SK렌터카,03,-86001.0,-705579.0,-0.005531267660792427
6,2013-10,467649574150,006840,AK홀딩스,10,46552.0,283489.0,0.003754646723055384
7,2013-11,481626647350,006840,AK홀딩스,11,86703.0,283489.0,0.003754646723055384
8,2013-12,476967622950,006840,AK홀딩스,12,23681.0,283489.0,0.003754646723055384
9,2014-01,458913903400,006840,AK홀딩스,01,21910.0,283489.0,0.003754646723055384
10,2014-02,539282074300,006840,AK홀딩스,02,41722.0,283489.0,0.003754646723055384
11,2014-03,662746220900,006840,AK홀딩스,03,62921.0,283489.0,0.003754646723055384
12,2013-10,3297127277950,138930,BNK금융지주,10,61772.0,9578878.0,0.00794593123033512
13,2013-11,3152092353700,138930,BNK금융지주,11,423389.0,9578878.0,0.00794593123033512
14,2013-12,3094078384000,138930,BNK금융지주,12,2725660.0,9578878.0,0.00794593123033512
15,2014-01,3065071399150,138930,BNK금융지주,01,2444930.0,9578878.0,0.00794593123033512
16,2014-02,3074740394100,138930,BNK금융지주,02,2606069.0,9578878.0,0.00794593123033512
17,2014-03,2910367479950,138930,BNK금융지주,03,1317058.0,9578878.0,0.00794593123033512
18,2013-10,117739927500,001460,BYC,10,-114.0,-107.0,5.671606562306958e-06
19,2013-11,118364542500,001460,BYC,11,-30.0,-107.0,5.671606562306958e-06
20,2014-02,128982997500,001460,BYC,02,-441.0,-107.0,5.671606562306958e-06
21,2014-03,133042995000,001460,BYC,03,478.0,-107.0,5.671606562306958e-06
22,2013-10,15076950000,001465,BYC우,10,19.0,-961.0,-0.0009186803778830862
23,2013-11,15098488500,001465,BYC우,11,10.0,-961.0,-0.0009186803778830862
24,2013-12,14990796000,001465,BYC우,12,-141.0,-961.0,-0.0009186803778830862
25,2014-01,14947719000,001465,BYC우,01,-91.0,-961.0,-0.0009186803778830862
26,2014-02,18221571000,001465,BYC우,02,-69.0,-961.0,-0.0009186803778830862
27,2014-03,18070801500,001465,BYC우,03,-689.0,-961.0,-0.0009186803778830862
28,2013-10,3221533797000,001040,CJ,10,-154136.0,702211.0,0.004232012015543239
29,2013-11,3018374008000,001040,CJ,11,-199395.0,702211.0,0.004232012015543239
30,2013-12,3383226638000,001040,CJ,12,506136.0,702211.0,0.004232012015543239
31,2014-01,3455828068000,001040,CJ,01,536904.0,702211.0,0.004232012015543239
32,2014-02,3702672930000,001040,CJ,02,189098.0,702211.0,0.004232012015543239
33,2014-03,3950643328000,001040,CJ,03,-176396.0,702211.0,0.004232012015543239
34,2013-10,1057007584350,079160,CJ CGV,10,-303366.0,672331.0,0.005710876134438672
35,2013-11,1018917220950,079160,CJ CGV,11,292056.0,672331.0,0.005710876134438672
36,2013-12,920517115500,079160,CJ CGV,12,85010.0,672331.0,0.005710876134438672
37,2014-01,1028439811800,079160,CJ CGV,01,579073.0,672331.0,0.005710876134438672
38,2014-02,1089807619500,079160,CJ CGV,02,112023.0,672331.0,0.005710876134438672
39,2014-03,1100388276000,079160,CJ CGV,03,-92465.0,672331.0,0.005710876134438672
40,2013-10,2105579351200,000120,CJ대한통운,10,-128887.0,-909679.0,-0.0065916997176443245
41,2013-11,2094173179200,000120,CJ대한통운,11,-236560.0,-909679.0,-0.0065916997176443245
42,2013-12,2281234400000,000120,CJ대한통운,12,44335.0,-909679.0,-0.0065916997176443245
43,2014-01,2440920808000,000120,CJ대한통운,01,-323960.0,-909679.0,-0.0065916997176443245
44,2014-02,2737481280000,000120,CJ대한통운,02,-7099.0,-909679.0,-0.0065916997176443245
45,2014-03,2577794872000,000120,CJ대한통운,03,-257508.0,-909679.0,-0.0065916997176443245
46,2013-10,91443817285,011150,CJ씨푸드,10,130.0,-261.0,-1.2014171392886346e-06
47,2013-11,87850739985,011150,CJ씨푸드,11,-10.0,-261.0,-1.2014171392886346e-06
48,2013-12,89647278635,011150,CJ씨푸드,12,-200.0,-261.0,-1.2014171392886346e-06
49,2014-01,93958971395,011150,CJ씨푸드,01,-110.0,-261.0,-1.2014171392886346e-06
50,2014-02,89647278635,011150,CJ씨푸드,02,-60.0,-261.0,-1.2014171392886346e-06
51,2014-03,90545547960,011150,CJ씨푸드,03,-11.0,-261.0,-1.2014171392886346e-06
