"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 06- 16","2,150","2,040","2,380","2,005","5.41M","7.23%"
"2015- 06- 15","2,005","1,985","2,065","1,960","659.47K","-1.23%"
"2015- 06- 12","2,030","2,055","2,180","1,985","2.65M","-0.49%"
"2015- 06- 11","2,040","1,985","2,090","1,940","1.62M","3.03%"
"2015- 06- 10","1,980","2,010","2,080","1,950","1.45M","-1.00%"
"2015- 06- 09","2,000","2,030","2,120","1,970","1.47M","-0.25%"
"2015- 06- 08","2,005","1,985","2,050","1,935","1.02M","2.04%"
"2015- 06- 05","1,965","2,000","2,070","1,960","1.34M","-4.84%"
"2015- 06- 04","2,065","2,015","2,140","1,995","1.85M","0.98%"
"2015- 06- 03","2,045","2,080","2,200","1,975","2.35M","-4.66%"
"2015- 06- 02","2,145","1,970","2,155","1,910","5.64M","10.57%"
"2015- 06- 01","1,940","2,010","2,020","1,875","2.33M","-3.96%"
"2015- 05- 29","2,020","2,050","2,115","1,970","4.31M","-0.25%"
"2015- 05- 28","2,025","2,145","2,265","1,980","7.60M","-3.80%"
"2015- 05- 27","2,105","2,150","2,185","2,045","6.25M","0.72%"
"2015- 05- 26","2,090","1,875","2,090","1,820","7.62M","14.84%"
"2015- 05- 22","1,820","1,710","1,820","1,675","7.97M","14.83%"
"2015- 05- 21","1,585","1,565","1,600","1,500","666.58K","1.28%"
"2015- 05- 20","1,565","1,595","1,630","1,555","592.86K","-0.95%"
"2015- 05- 19","1,580","1,535","1,615","1,515","474.12K","0.32%"
"2015- 05- 18","1,575","1,675","1,695","1,535","1.05M","-5.69%"
"2015- 05- 15","1,670","1,695","1,695","1,645","524.74K","0.00%"
"2015- 05- 14","1,670","1,600","1,765","1,570","2.02M","5.36%"
"2015- 05- 13","1,585","1,585","1,600","1,555","518.80K","0.00%"
"2015- 05- 12","1,585","1,560","1,615","1,540","605.23K","1.60%"
"2015- 05- 11","1,560","1,590","1,635","1,530","544.41K","-1.89%"
"2015- 05- 08","1,590","1,605","1,630","1,565","306.77K","0.95%"
"2015- 05- 07","1,575","1,520","1,665","1,515","1.15M","2.27%"
"2015- 05- 06","1,540","1,620","1,630","1,505","1.01M","-7.78%"
"2015- 05- 04","1,670","1,750","1,760","1,645","826.63K","-4.57%"
"2015- 04- 30","1,750","1,680","1,795","1,635","2.13M","6.06%"
"2015- 04- 29","1,650","1,645","1,675","1,610","464.09K","0.61%"
"2015- 04- 28","1,640","1,675","1,695","1,620","749.63K","-2.09%"
"2015- 04- 27","1,675","1,710","1,715","1,665","694.31K","-2.05%"
"2015- 04- 24","1,710","1,670","1,735","1,640","1.17M","3.01%"
"2015- 04- 23","1,660","1,740","1,745","1,600","1.20M","-0.60%"
"2015- 04- 22","1,670","1,765","1,810","1,545","2.41M","-5.38%"
"2015- 04- 21","1,765","1,845","1,850","1,750","1.49M","-0.84%"
"2015- 04- 20","1,780","1,775","1,785","1,720","1.45M","-1.11%"
"2015- 04- 17","1,800","1,845","1,890","1,760","2.05M","-1.64%"
"2015- 04- 16","1,830","1,780","1,860","1,750","2.47M","2.81%"
"2015- 04- 15","1,780","1,765","1,895","1,695","6.76M","2.01%"
"2015- 04- 14","1,745","1,540","1,745","1,490","4.62M","14.80%"
"2015- 04- 13","1,520","1,610","1,610","1,490","1.29M","-4.40%"
"2015- 04- 10","1,590","1,560","1,680","1,555","2.69M","2.58%"
"2015- 04- 09","1,550","1,515","1,550","1,485","1.40M","3.68%"
"2015- 04- 08","1,495","1,485","1,530","1,465","1.38M","3.46%"
"2015- 04- 07","1,445","1,450","1,455","1,425","360.07K","0.00%"
"2015- 04- 06","1,445","1,440","1,465","1,420","741.13K","2.12%"
"2015- 04- 03","1,415","1,395","1,420","1,385","295.01K","1.43%"
"2015- 04- 02","1,395","1,420","1,425","1,385","467.19K","-1.76%"
"2015- 04- 01","1,420","1,390","1,445","1,385","402.41K","1.43%"
