"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014- 11- 26","7,740","7,350","8,120","7,350","1.49M","6.03%"
"2014- 11- 27","7,680","7,800","8,110","7,620","832.35K","-0.78%"
"2014- 11- 28","7,790","7,540","7,790","7,370","489.43K","1.43%"
"2014- 12- 01","7,350","7,780","7,810","7,300","344.27K","-5.65%"
"2014- 12- 02","7,100","7,210","7,290","6,920","389.23K","-3.40%"
"2014- 12- 03","7,100","7,100","7,300","7,080","221.63K","0.00%"
"2014- 12- 04","7,100","7,130","7,250","7,040","248.75K","0.00%"
"2014- 12- 05","7,650","7,200","7,930","7,100","1.04M","7.75%"
"2014- 12- 08","7,800","7,710","7,870","7,520","513.78K","1.96%"
"2014- 12- 09","7,940","7,620","8,080","7,620","891.23K","1.79%"
"2014- 12- 10","7,600","7,910","8,020","7,600","495.25K","-4.28%"
"2014- 12- 11","7,320","7,480","7,570","7,320","449.12K","-3.68%"
"2014- 12- 12","7,370","7,400","7,570","7,200","392.53K","0.68%"
"2014- 12- 15","7,270","7,230","7,360","7,150","209.77K","-1.36%"
"2014- 12- 16","7,610","7,270","7,940","7,180","885.12K","4.68%"
"2014- 12- 17","7,560","7,690","7,880","7,560","564.03K","-0.66%"
"2014- 12- 18","7,270","7,600","7,620","7,080","502.43K","-3.84%"
"2014- 12- 19","8,090","7,290","8,360","7,260","2.37M","11.28%"
"2014- 12- 22","7,960","7,900","8,090","7,850","679.03K","-1.61%"
"2014- 12- 23","8,700","7,990","9,000","7,920","2.67M","9.30%"
"2014- 12- 24","8,300","8,560","8,880","8,250","944.55K","-4.60%"
"2014- 12- 26","8,490","8,330","8,800","8,100","1.08M","2.29%"
"2014- 12- 29","8,740","8,410","9,090","8,350","1.01M","2.94%"
"2014- 12- 30","8,340","8,710","8,820","8,310","580.71K","-4.58%"
"2015- 01- 02","8,260","8,050","8,290","7,580","825.44K","-0.96%"
"2015- 01- 05","8,430","8,100","8,580","8,100","501.77K","2.06%"
"2015- 01- 06","8,170","8,300","8,500","8,080","407.86K","-3.08%"
"2015- 01- 07","8,370","8,260","8,460","8,110","428.29K","2.45%"
"2015- 01- 08","8,510","8,430","8,750","8,320","716.22K","1.67%"
"2015- 01- 09","8,600","8,520","8,680","8,380","625.22K","1.06%"
"2015- 01- 12","8,520","8,600","8,720","8,390","632.47K","-0.93%"
"2015- 01- 13","8,500","8,560","8,760","8,480","709.71K","-0.23%"
"2015- 01- 14","8,370","8,560","9,300","8,240","2.31M","-1.53%"
"2015- 01- 15","8,030","8,390","8,450","7,870","703.23K","-4.06%"
"2015- 01- 16","7,950","8,040","8,160","7,910","287.06K","-1.00%"
"2015- 01- 19","8,060","7,960","8,060","7,800","308.33K","1.38%"
"2015- 01- 20","8,000","7,990","8,110","7,910","209.24K","-0.74%"
"2015- 01- 21","7,960","7,900","8,140","7,870","255.58K","-0.50%"
"2015- 01- 22","7,410","7,980","7,980","7,410","636.06K","-6.91%"
"2015- 01- 23","7,400","7,520","7,680","7,400","277.16K","-0.13%"
"2015- 01- 26","7,430","7,400","7,550","7,310","229.87K","0.41%"
"2015- 01- 27","7,150","7,540","7,560","7,130","261.98K","-3.77%"
"2015- 01- 28","7,370","7,090","7,550","7,000","300.47K","3.08%"
"2015- 01- 29","7,350","7,490","7,560","7,300","165.71K","-0.27%"
"2015- 01- 30","7,310","7,410","7,500","7,300","191.50K","-0.54%"
"2015- 02- 02","7,420","7,360","7,580","7,190","277.92K","1.50%"
"2015- 02- 03","7,560","7,520","7,880","7,360","602.42K","1.89%"
"2015- 02- 04","7,600","7,560","7,940","7,500","485.65K","0.53%"
"2015- 02- 05","7,910","7,610","8,010","7,560","619.08K","4.08%"
"2015- 02- 06","7,950","7,860","8,090","7,800","394.26K","0.51%"
"2015- 02- 09","8,160","8,700","8,710","8,160","1.26M","2.64%"
"2015- 02- 10","8,220","8,430","8,620","7,900","818.44K","0.74%"
"2015- 02- 11","8,130","8,220","8,300","8,000","357.14K","-1.09%"
"2015- 02- 12","8,020","8,130","8,240","7,980","265.19K","-1.35%"
"2015- 02- 13","7,920","7,750","8,120","7,740","389.46K","-1.25%"
"2015- 02- 16","8,290","8,100","8,480","8,050","755.98K","4.67%"
"2015- 02- 17","8,290","8,490","8,490","8,050","308.18K","0.00%"
"2015- 02- 23","8,080","8,280","8,360","8,080","303.20K","-2.53%"
"2015- 02- 24","7,910","8,150","8,220","7,910","319.17K","-2.10%"
"2015- 02- 25","8,210","8,090","8,480","7,930","989.75K","3.79%"
"2015- 02- 26","8,530","8,160","8,550","8,000","968.28K","3.90%"
"2015- 02- 27","8,230","8,650","8,680","8,170","1.18M","-3.52%"
"2015- 03- 02","7,320","8,060","8,130","7,050","1.80M","-11.06%"
"2015- 03- 03","7,260","7,310","7,400","7,100","479.31K","-0.82%"
"2015- 03- 04","7,330","7,310","7,480","7,270","539.95K","0.96%"
"2015- 03- 05","7,240","7,340","7,380","7,190","451.48K","-1.23%"
"2015- 03- 06","6,970","7,240","7,270","6,890","761.57K","-3.73%"
"2015- 03- 09","7,140","6,970","7,250","6,910","467.37K","2.44%"
"2015- 03- 10","7,300","7,100","7,300","7,000","344.20K","2.24%"
"2015- 03- 11","7,100","7,390","7,610","7,100","1.11M","-2.74%"
"2015- 03- 12","7,100","7,150","7,230","7,060","348.61K","0.00%"
"2015- 03- 13","7,050","7,170","7,170","6,980","325.27K","-0.70%"
"2015- 03- 16","6,710","7,110","7,110","6,700","592.83K","-4.82%"
"2015- 03- 17","6,830","6,840","7,130","6,790","827.32K","1.79%"
"2015- 03- 18","6,750","6,930","7,030","6,720","395.20K","-1.17%"
"2015- 03- 19","6,540","6,720","6,900","6,460","446.05K","-3.11%"
"2015- 03- 20","6,620","6,600","6,730","6,560","280.98K","1.22%"
"2015- 03- 23","6,620","6,700","6,720","6,600","216.55K","0.00%"
"2015- 03- 24","6,500","6,670","6,740","6,460","392.64K","-1.81%"
"2015- 03- 25","6,640","6,510","6,770","6,490","442.50K","2.15%"
"2015- 03- 26","6,760","6,610","6,840","6,570","441.28K","1.81%"
"2015- 03- 27","6,700","6,760","6,770","6,590","332.98K","-0.89%"
"2015- 03- 30","6,740","6,670","6,780","6,600","269.44K","0.60%"
"2015- 03- 31","6,740","6,790","6,810","6,680","271.92K","0.00%"
