,회사명,거래소코드,회계년도,한계기업여부,이자보상배율(이자비용),부가가치(백만원),금융비용(백만원),매출액총이익률,매출액순이익률,총자본사업이익률,총자본순이익률,자기자본순이익률,경영자본순이익률,자본금순이익률,매출원가대매출액비율,영업비용대영업수익비율,금융손익비율,금융비용부담률,기업순이익률,인건비대총비용비율,금융비용대총비용비율,이자부담률,지급이자율,차입금평균이자율,유보율,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,현금비율,매출채권비율,매입채무대재고자산비율,순운전자본비율,차입금의존도,차입금비율,총자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,당좌자산회전률,재고자산회전률,매출채권회전률,비유동자산회전률,유형자산회전율,순운전자본회전률,사내유보대자기자본비율,자기자본배당률,배당성향,이익잉여금(결손금)(요약)(백만원),비유동금융부채(요약)(백만원),비유동자산증가율,유동금융부채(요약)(백만원),외국인_주식분포비율,장기금융부채(백만원),자산대비자본비율,차입,총자본증가율,유형자산증가율,비유동자산(백만원),자기자본증가율,매출액증가율,직원증감률,자산대비_장기금융부채비율,투자축소_여부,직원증감률_여부,종업원수증가율,투자활동현금흐름증감률,매출원가축소_여부,자산매각_여부,자본증가율_여부,차입_여부,사내유보금보유_여부,운용적범주전략(OPS)변수,LEV지수,순자산가치(백만원),KZ지수,산업매출성장률,WW지수,NCAV지수,기업생명주기,순매수거래량_기관,순매수거래대금 비중_기관,순매수거래량_외국인,순매수거래대금 비중_외국인
361,(주)삼화네트웍스,046390,2015.0,0,-29.21,1046.93,-296.83,1.24,-10.8,-5.89,-5.57,-6.13,-6.81,-23.85,98.76,112.93,1.45,-1.5,-6.34,13.29,-1.33,-5.81,0.0,0.0,297.3,49.51,0.0,98.06,89.64,10.36,377.82,886.99,196.66,0.0,0.0,43.93,0.0,0.0,0.52,0.59,2.31,3.86,17.74,0.96,0.0,8.99,1.11,73.6,0.82,7.1,0.0,0.0,1275.0,0.0,-55.22587015551716,0.0,1.12,90.0,89.63616624446733,0.2505358683851571,-11.810772327785141,40.625,18138.0,-5.941461704737979,-39.85752123481596,6.666666666666667,0.0025053586838515714,1,0,6.666666666666667,-136.57861099275672,0.0,1,1,0,0,1,0.0,32200.0,-143245690427.20908,21.31214078892505,752359215.3334674,0.24806223988147902,3,217006.0,0.0010122543858843,502530.0,0.0013774709467792
362,(주)우리로,046970,2014.0,0,-11.19,3326.3,-98.62,-5.0,-30.91,-11.87,-11.88,-18.36,-12.11,-135.31,105.0,134.63,0.36,-0.65,-12.13,29.69,-0.45,-0.71,3.58,4.95,570.67,57.61,17.03,135.91,55.68,44.32,666.45,221.31,25.8,114.19,58.08,31.58,31.65,56.85,0.38,0.59,4.38,1.09,8.49,0.81,4.01,3.89,0.89,1.06,0.49,-15.54,0.0,0.0,-2751.0,0.0,-20.935872103466856,0.0,1.59,6721.0,55.6770030816641,16.18114406779661,10.67707639425511,-11.401611952034598,17606.0,-17.442524632300444,-15.296676332812847,-9.815950920245399,0.1618114406779661,1,0,-9.815950920245399,-217.45162468054033,0.0,1,0,1,0,1,0.046747580013132534,23126.0,-85388254357.53699,0.3507149997138965,14068254043.716606,0.19166001180514566,0,-927271.0,-0.0120479216072778,36332.0,0.0010216453700179
363,(주)한빛소프트,047080,2016.0,1,-5.34,2973.12,820.01,25.35,-23.74,-12.17,-18.11,-37.67,-28.96,-58.92,74.65,116.34,-2.67,2.67,-16.07,16.16,2.12,3.84,17.93,10.19,63.79,47.86,0.83,91.79,51.18,48.82,163.79,127.28,26.94,3925.32,141.2,10.26,11.66,22.78,0.76,1.62,2.57,1.44,112.05,1.52,207.58,4.42,1.55,73.6,0.95,0.0,0.0,0.0,-32241.0,0.0,-48.73937116867708,0.0,1.86,827.0,51.18425022628985,2.079352308156492,-2.5100500049024412,-7.352941176470589,20738.0,16.578856946512428,38.80381262140308,0.0,0.02079352308156492,1,0,0.0,-158.3016661794797,1.0,1,1,0,0,1,0.005015230406881021,20357.0,-126090601576.69882,-3.4175514570187913,6288066979.944927,-0.0032242799667520678,4,-992.0,-1.2953566253186513e-05,-98611.0,-0.0016300129209852
364,레이젠(주),047440,2012.0,1,-1.03,18314.17,949.19,10.78,-2.38,-0.83,-2.42,-4.69,-2.56,-34.55,89.22,101.23,-1.13,0.79,-1.62,10.94,0.76,1.65,4.24,4.23,699.9,42.58,25.13,74.15,52.48,47.52,714.36,107.01,38.73,132.5,96.67,2.79,30.1,57.36,1.02,1.97,14.5,2.1,7.98,2.84,9.66,7.91,1.89,2.09,1.21,33.8,0.0,0.0,21684.0,0.0,-2.7536948025695165,0.0,0.27,8741.0,52.48094640236247,7.728422132234621,-8.937787332029016,0.9770114942528736,64944.0,-5.873677867461664,-23.457103833815076,-5.741626794258373,0.0772842213223462,1,0,-5.741626794258373,-48.270400081753614,1.0,0,0,1,0,1,0.10529161778329302,59357.0,-206298107434.1309,5.164150771386816,3072642392.785384,-0.2114459743324547,0,0.0,0.0,53889.0,0.0005010627271253
365,(주)이스트소프트,047560,2013.0,1,-2.77,24005.74,1075.75,35.42,-11.84,-4.21,-5.41,-13.39,-6.39,-156.56,64.58,109.82,-3.96,2.94,-4.06,57.71,2.57,2.03,3.92,3.88,1107.67,27.54,0.0,38.0,32.21,67.79,1104.25,163.71,53.22,0.0,0.0,10.72,42.49,131.91,0.46,1.36,14.76,0.69,0.0,1.48,0.0,6.92,0.66,0.88,0.96,79.95,0.0,0.0,19589.0,0.0,33.25685903500473,0.0,0.63,29111.0,32.211804349783286,37.441319082712766,-5.492889267047526,6.609152288072018,56341.0,-12.838449223915918,16.640592573672617,-9.45945945945946,0.37441319082712765,1,0,-9.45945945945946,-96.34645224996473,1.0,0,0,1,0,1,0.2038720492267905,25044.0,-116364587696.31439,1.6435971851249125,6322426721.4543,-0.34741810303965587,2,-63626.0,-0.0013329791790439,-50402.0,-0.0014215386268299
366,(주)코데즈컴바인,047770,2013.0,1,-5.79,16438.52,2666.97,43.06,-12.98,-10.74,-12.69,-52.65,-14.45,-77.94,56.94,111.15,-2.13,1.76,-10.97,13.14,1.5,2.3,6.23,5.78,8.61,59.95,64.27,149.66,21.89,78.11,108.61,82.45,0.47,29.16,55.98,-12.76,35.16,160.59,0.98,3.88,5.99,1.31,4.79,3.86,2.48,6.07,2.77,6.43,0.74,-37.26,0.0,0.0,-9746.0,0.0,-64.88978694556154,0.0,0.03,0.0,21.894757392362102,0.0,-24.50611930230317,-7.713678705670861,53344.0,-40.2271283028924,-24.192288041354853,-11.366906474820144,0.0,0,0,-11.366906474820144,306.3736263736264,0.0,1,0,0,0,0,0.0,29159.0,11566588904.653534,8.405309314463894,171507305.50293943,-0.6809966629586678,4,-612323.0,-0.001295033531287,-48513.0,-4.5732759925507634e-05
367,(주)초록뱀미디어,047820,2014.0,1,-29.21,24771.07,-275.65,1.9,-7.94,-7.15,-7.8,-9.1,-8.02,-15.82,98.1,108.38,1.22,-1.08,-8.86,6.5,-0.98,-8.1,0.26,0.51,66.15,47.21,0.0,89.43,80.37,19.63,166.14,240.54,28.73,0.0,0.0,27.58,10.93,13.6,0.98,1.13,2.0,7.52,0.0,1.81,0.0,6.45,2.15,73.6,1.46,-8.94,0.0,0.0,-1941.0,0.0,-44.192304602779345,0.0,15.18,0.0,80.37254610350982,0.0,7.061539686330706,40.625,13895.0,-8.383132019495655,12.94325458158534,0.0,0.0,1,0,0.0,-88.85448916408669,0.0,1,0,0,0,1,0.0,21617.0,-72245743627.65643,11.746672789184661,14711035099.358246,0.12614944698562303,3,-2922.0,-0.0003296698497779,352037.0,0.0022510667937005
368,에이치엘비제약(주),047920,2016.0,1,0.58,8704.58,819.91,26.98,2.84,2.29,1.75,3.72,1.91,12.12,73.02,97.17,-3.0,4.03,4.23,31.69,3.9,4.68,6.61,9.17,219.33,59.07,11.6,144.35,45.83,54.17,319.23,355.2,55.89,302.29,89.01,42.44,36.73,80.15,0.62,1.31,4.27,1.16,8.5,1.2,7.24,2.78,1.53,2.09,0.76,0.94,0.0,0.0,177.0,0.0,-2.8438201600368433,0.0,0.43,13296.0,45.829089674571996,32.242106794703915,65.96772246146416,60.72766185125735,16877.0,55.20243081218691,14.864788573364196,-3.821656050955414,0.3224210679470391,0,0,-3.821656050955414,1150.943396226415,1.0,0,0,1,0,1,0.02291478767073664,18899.0,-123604009489.89534,21.31214078892505,1447766627.4906387,0.032904967596122825,0,-15504.0,-0.0003132409189388,-20479.0,-0.0005595182808278
369,현대바이오사이언스(주),048410,2012.0,1,-5.92,1273.31,752.4,24.69,-21.46,-16.21,-25.45,-48.13,-25.5,-104.36,75.31,114.01,-2.03,2.03,-23.05,14.56,1.6,5.11,11.36,11.65,84.68,63.41,50.75,173.3,58.94,41.06,184.64,162.29,16.61,58.01,22.01,24.34,24.07,40.84,1.19,2.24,4.86,2.52,14.74,3.45,3.17,7.2,4.22,6.02,1.01,-278.35,0.0,0.0,-47054.0,0.0,-53.68184151300983,0.0,0.04,15.0,58.93765010448831,0.04678581454103116,5.214623260698346,39.33916423712342,11731.0,33.30511463844797,-22.189578830294003,-30.864197530864196,0.0004678581454103116,0,1,-30.864197530864196,222.5771521386031,0.0,1,1,0,0,1,0.0,18897.0,-79065073627.87138,5.164150771386816,22340569538.609272,0.16359840730325279,0,-586010.0,-0.0063606546466422,51714.0,0.0003978007222464
370,(주)인트론바이오테크놀로지,048530,2012.0,1,-2.03,3600.2,359.67,43.19,-14.49,-4.62,-5.91,-10.8,-6.11,-25.63,56.81,113.64,-4.71,4.4,-4.12,36.6,3.58,3.97,8.73,7.35,155.99,42.05,11.99,72.58,60.72,39.28,255.99,197.52,72.47,133.1,16.09,20.76,31.99,52.68,0.41,0.75,1.77,0.9,30.87,0.94,9.63,4.97,0.78,2.4,0.61,1.4,0.0,0.0,174.0,0.0,-33.03923298629493,0.0,1.1,3072.0,60.722830236701455,15.637566810893357,-3.785875208149672,-0.7901668129938543,11384.0,19.24230307876849,-4.431193733193032,-2.4096385542168677,0.15637566810893358,1,0,-2.4096385542168677,-118.93239477929316,0.0,1,1,1,0,1,0.00982359809437853,11929.0,-202709710381.18066,5.164150771386816,2759378976.775576,0.004997997925834529,3,-28919.0,-0.0014003361726374,36786.0,0.0005121153914977
