,회사명,거래소코드,회계년도,한계기업여부,이자보상배율(이자비용)
834,에이치엘비(주),028300,2013.0,1,-6.22
835,에이치엘비(주),028300,2014.0,1,0.19
836,에이치엘비(주),028300,2015.0,1,-2.1
837,에이치엘비(주),028300,2016.0,1,-22.58
838,에이치엘비(주),028300,2017.0,1,-6.17
839,에이치엘비(주),028300,2018.0,1,-2.3
840,팬오션(주),028670,2012.0,1,-1.57
841,팬오션(주),028670,2013.0,0,-1.31
842,(주)광무,029480,2012.0,1,-2.69
843,(주)광무,029480,2013.0,0,-8.2
844,(주)광무,029480,2018.0,1,-3.19
845,(주)에스마크,030270,2012.0,0,-1.4
846,(주)에스마크,030270,2015.0,1,-9.67
847,(주)에스마크,030270,2016.0,1,-6.4
848,(주)에스마크,030270,2017.0,1,-2.83
849,(주)드래곤플라이,030350,2018.0,1,-4.25
850,동원수산(주),030720,2013.0,1,-5.59
851,동원수산(주),030720,2014.0,0,-5.26
852,비케이탑스(주),030790,2013.0,1,-11.35
853,비케이탑스(주),030790,2014.0,1,0.11
854,비케이탑스(주),030790,2015.0,1,-0.9
855,비케이탑스(주),030790,2016.0,1,-1.48
856,비케이탑스(주),030790,2017.0,1,-4.45
857,비케이탑스(주),030790,2018.0,1,-2.33
858,(주)아이즈비전,031310,2011.0,1,-7.38
859,(주)아이즈비전,031310,2012.0,0,-6.02
860,(주)콤텍시스템,031820,2014.0,0,-29.21
861,(주)엔에스엔,031860,2014.0,1,0.73
862,(주)엔에스엔,031860,2015.0,1,-8.97
863,(주)엔에스엔,031860,2016.0,1,-10.53
864,(주)엔에스엔,031860,2017.0,1,-7.61
865,(주)엔에스엔,031860,2018.0,1,-3.84
866,(주)씨앤에스자산관리,032040,2015.0,1,0.03
867,롯데관광개발(주),032350,2011.0,1,-0.81
868,롯데관광개발(주),032350,2012.0,1,0.14
869,롯데관광개발(주),032350,2013.0,1,0.47
870,롯데관광개발(주),032350,2014.0,0,-10.72
871,(주)케이엠더블유,032500,2015.0,1,-6.49
872,(주)케이엠더블유,032500,2016.0,1,-2.03
873,(주)케이엠더블유,032500,2017.0,1,-0.54
874,(주)케이엠더블유,032500,2018.0,0,-4.09
875,(주)피델릭스,032580,2016.0,0,-8.77
876,(주)비엔지티,032790,2012.0,1,-5.52
877,(주)비엔지티,032790,2013.0,1,-2.48
878,(주)비엔지티,032790,2014.0,1,-0.86
879,(주)비엔지티,032790,2015.0,1,-4.23
880,(주)비엔지티,032790,2016.0,1,-1.6
881,(주)비엔지티,032790,2017.0,1,-0.73
882,(주)비엔지티,032790,2018.0,1,-4.71
883,(주)판타지오,032800,2013.0,1,-10.88
884,(주)판타지오,032800,2014.0,0,-17.4
885,(주)판타지오,032800,2017.0,0,-29.21
886,(주)우리기술,032820,2013.0,1,-4.33
887,(주)우리기술,032820,2014.0,0,-2.18
888,(주)휴먼엔,032860,2013.0,1,-4.26
889,(주)휴먼엔,032860,2014.0,1,-2.47
890,(주)휴먼엔,032860,2015.0,1,0.76
891,(주)휴먼엔,032860,2016.0,0,-1.81
892,(주)원익,032940,2011.0,1,0.96
893,(주)원익,032940,2012.0,1,0.66
894,(주)원익,032940,2013.0,1,0.05
895,(주)원익,032940,2014.0,1,0.18
896,(주)원익,032940,2015.0,0,-1.84
897,바이온(주),032980,2018.0,1,-0.92
898,제이엠아이(주),033050,2012.0,1,-17.38
899,제이엠아이(주),033050,2013.0,0,-6.87
900,제이엠아이(주),033050,2018.0,1,-7.54
901,제룡전기(주),033100,2017.0,0,-18.88
902,(주)코너스톤네트웍스,033110,2012.0,0,-3.48
903,(주)코너스톤네트웍스,033110,2015.0,1,-23.0
904,(주)코너스톤네트웍스,033110,2016.0,1,-1.39
905,(주)코너스톤네트웍스,033110,2017.0,1,-1.66
906,(주)코너스톤네트웍스,033110,2018.0,1,-1.83
907,(주)모아텍,033200,2013.0,1,-24.64
908,(주)모아텍,033200,2014.0,1,-26.09
909,(주)모아텍,033200,2015.0,1,-15.49
910,코웰패션(주),033290,2014.0,0,-2.29
911,(주)좋은사람들,033340,2017.0,0,-16.81
912,디에스티(주),033430,2012.0,1,-2.39
913,디에스티(주),033430,2013.0,1,-0.89
914,디에스티(주),033430,2014.0,1,-2.04
915,디에스티(주),033430,2015.0,1,-2.5
916,디에스티(주),033430,2016.0,1,-0.01
917,디에스티(주),033430,2017.0,1,0.85
918,디에스티(주),033430,2018.0,1,0.26
919,(주)동성화인텍,033500,2018.0,0,-2.75
920,세종공업(주),033530,2018.0,0,0.03
921,럭슬(주),033600,2012.0,1,-1.77
922,럭슬(주),033600,2013.0,1,-1.86
923,럭슬(주),033600,2014.0,1,0.47
924,럭슬(주),033600,2015.0,1,-3.72
925,럭슬(주),033600,2016.0,1,-5.86
926,(주)네패스,033640,2014.0,1,0.66
927,(주)네패스,033640,2015.0,0,0.42
