,거래소코드,회계년도,시가총액
233,008000,2011,455483053440
234,044490,2011,455125508000
235,001440,2011,451750599235
236,000070,2011,444377559200
237,900050,2011,440736570170
238,010690,2011,438251145500
239,096640,2011,435425875400
240,091700,2011,431605706150
241,005880,2011,423624128000
242,009410,2011,420200000000
243,003190,2011,418075652325
244,040350,2011,414501226440
245,066575,2011,412463808000
246,069080,2011,412140156150
247,040910,2011,411781579200
248,095720,2011,410638965000
249,035080,2011,407642023100
250,013570,2011,400566146200
251,071200,2011,398383705500
252,039130,2011,397273527000
253,003030,2011,397200000000
254,036540,2011,396201551400
255,077970,2011,388571087150
256,003000,2011,388098978750
257,063080,2011,377366547900
258,003530,2011,375933986010
259,001500,2011,375515020800
260,036930,2011,374157489600
261,004150,2011,372989218500
262,004690,2011,371034787500
263,005690,2011,370868200300
264,001510,2011,369735332505
265,122870,2011,366981155200
266,017940,2011,364266000000
267,000540,2011,361686091350
268,000370,2011,360667971000
269,033640,2011,360115371000
270,019210,2011,359860279500
271,036710,2011,359741670750
272,064960,2011,358474608800
273,084870,2011,355608763950
274,007860,2011,354742677000
275,067290,2011,352371581800
276,010780,2011,352362727800
277,003520,2011,348135200000
278,033170,2011,345056483975
279,041140,2011,340744870000
280,009420,2011,340685950000
281,114120,2011,337869900000
282,016800,2011,337525000000
283,014830,2011,336497025900
284,000680,2011,336398379580
285,016170,2011,336379676500
286,016420,2011,336266877030
287,000700,2011,335876026590
288,005950,2011,335000607200
289,023410,2011,332293171780
290,005090,2011,330100424000
291,043370,2011,329700000000
292,900140,2011,326400000000
293,009580,2011,324938968040
294,006840,2011,324850000000
295,069620,2011,318829393000
296,006350,2011,317088152040
297,020760,2011,314668072800
298,009520,2011,312300000000
299,000990,2011,310154630250
300,084370,2011,309766143600
301,003410,2011,308347600680
302,110570,2011,306377650000
303,138040,2011,306364418760
304,003300,2011,304830645200
305,016380,2011,303874734000
306,000430,2011,298840000000
307,090435,2011,296147131500
308,043890,2011,294017579400
309,033920,2011,290959427100
310,038500,2011,290762481100
311,026870,2011,290030000000
312,007690,2011,289949738400
313,052420,2011,288968214150
314,039030,2011,288642773600
315,003230,2011,286631220750
316,033660,2011,286290802750
317,001130,2011,285610000000
318,105630,2011,283600000000
319,007160,2011,283500000000
320,001520,2011,280460910915
321,030520,2011,280448863650
322,054620,2011,280006038000
323,025000,2011,279268000000
324,083650,2011,278604000000
325,049770,2011,276313278400
326,067280,2011,274384500000
327,094800,2011,274325448105
328,037710,2011,273600000000
329,054950,2011,271912498600
330,004360,2011,271320000000
331,051500,2011,269972500000
332,031440,2011,268459380000
333,108230,2011,265420389000
334,002960,2011,265200000000
335,001720,2011,265161195250
336,007340,2011,264556273000
337,016880,2011,263993269680
338,103130,2011,263585294400
339,098460,2011,263327451600
340,068760,2011,263033285000
341,041020,2011,261744000000
342,002320,2011,259251302400
343,051905,2011,257212882500
344,115160,2011,256324958400
345,000480,2011,256000000000
346,136480,2011,255703746120
347,046140,2011,253163749000
348,002000,2011,252495483000
349,078520,2011,251553836400
350,008040,2011,250756984000
351,036030,2011,250470000000
352,000140,2011,249472723750
353,038060,2011,249374527600
354,017390,2011,248750000000
355,123260,2011,247043833800
356,060280,2011,246962100900
357,001630,2011,245340000000
358,005990,2011,245220000000
359,030350,2011,244880615000
360,078020,2011,239658400350
361,002150,2011,237726000000
362,034810,2011,237654000000
363,067310,2011,237160356000
364,023890,2011,236985000000
365,005740,2011,235763840000
366,072710,2011,235135953000
367,009680,2011,234630000000
368,000815,2011,234612000000
369,100700,2011,234330000000
370,018000,2011,234032560000
371,001250,2011,233224457400
372,013030,2011,232105605600
373,014790,2011,232000000000
374,033530,2011,231628666500
375,065680,2011,230970615000
376,100130,2011,230857720000
377,002020,2011,230353792800
378,000400,2011,230013500000
379,021960,2011,229850384400
380,005420,2011,229141171350
381,025540,2011,228609250000
382,014100,2011,228000000000
383,019440,2011,227962000000
384,126560,2011,227492585700
385,036420,2011,226634494540
386,103590,2011,225077967300
387,010955,2011,223619141200
