회사명,거래소코드,회계년도,이자보상배율(이자비용)
(주)녹십자엠에스,142280,2010/12,74.68
(주)녹십자홀딩스,005250,2009/12,16.56
(주)녹십자홀딩스,005250,2010/12,16.26
(주)녹원씨엔아이,065560,2009/12,2.18
(주)녹원씨엔아이,065560,2010/12,0.2
(주)농심,004370,2009/12,23.33
(주)농심,004370,2010/12,41.21
(주)농심홀딩스,072710,2009/12,15.67
(주)농심홀딩스,072710,2010/12,14.32
(주)누리플랜,069140,2009/12,6.66
(주)누리플랜,069140,2010/12,8.1
(주)누리플렉스,040160,2009/12,5.48
(주)누리플렉스,040160,2010/12,0.84
(주)뉴보텍,060260,2009/12,0.22
(주)뉴보텍,060260,2010/12,-4.47
(주)뉴인텍,012340,2009/12,0.83
(주)뉴인텍,012340,2010/12,2.39
(주)뉴파워프라즈마,144960,2009/12,20.17
(주)뉴파워프라즈마,144960,2010/12,34.49
(주)뉴프렉스,085670,2009/12,0.6
(주)뉴프렉스,085670,2010/12,1.31
(주)다날,064260,2009/12,49.76
(주)다날,064260,2010/12,5.19
(주)다산네트웍스,039560,2009/12,4
(주)다산네트웍스,039560,2010/12,10.57
(주)다우기술,023590,2009/12,116.97
(주)다우기술,023590,2010/12,19.94
(주)다우데이타,032190,2009/12,11.22
(주)다우데이타,032190,2010/12,15.16
(주)다원시스,068240,2009/12,7.07
(주)다원시스,068240,2010/12,6.98
(주)다이나믹디자인,145210,2009/12,0.5
(주)다이나믹디자인,145210,2010/12,2.84
(주)대교,019680,2009/12,3200.99
(주)대교,019680,2010/12,10733.79
(주)대구백화점,006370,2009/03,66.88
(주)대구백화점,006370,2010/03,999999999
(주)대덕,008060,2009/12,4073.97
(주)대덕,008060,2010/12,341.64
(주)대동,000490,2009/12,1.55
(주)대동,000490,2010/12,2.21
(주)대동스틸,048470,2009/12,-1.86
(주)대동스틸,048470,2010/12,2.87
(주)대륙제관,004780,2009/12,5.06
(주)대륙제관,004780,2010/12,5.73
(주)대림제지,017650,2009/12,1.15
(주)대림제지,017650,2010/12,3.74
(주)대명소노시즌,007720,2009/12,-0.2
(주)대명소노시즌,007720,2010/12,2.97
(주)대성미생물연구소,036480,2009/12,21.05
(주)대성미생물연구소,036480,2010/12,8.32
(주)대성엘텍,025440,2009/12,-0.16
(주)대성엘텍,025440,2010/12,1.74
(주)대성파인텍,104040,2009/12,7
(주)대성파인텍,104040,2010/12,7.28
(주)대성하이텍,129920,2009/12,4.96
(주)대성하이텍,129920,2010/12,3.82
(주)대양금속,009190,2009/12,-0.17
(주)대양금속,009190,2010/12,0.72
